A Document Scan with the same name already exists:,Un Document Scan avec le même nom existe déjà :,
About,A Propos,
Account,Compte,
Account company does not match with the rule company.,La société du compte ne correspond pas à la société de la règle.,
Accounts,Codes comptables,
Accounts Manager,Responsable comptable,
Accounts User,Comptable,
Action,Action,
Admin,Administrateur,
All rows must have an amount and a type. Missing in row {0},Toutes les lignes doivent avoir un montant et un type. Manquant dans la ligne {0},
Amended From,Modifié depuis,
Amount,Montant,
Analyze and extract with Nora AI,Analyser et extraire avec Nora AI,
Any,Tout,
Apps,Applications,
Automatically run rules on unreconciled transactions,Exécuter automatiquement les règles sur les transactions non rapprochées,
Balance,Solde,
Bank Account,Compte bancaire,
Bank Entry,Écriture bancaire,
Bank Reconciliation,Rapprochement bancaire,
Bank Statement Processor is not set in Mint Settings,Le processeur de relevés bancaires n'est pas configuré dans les paramètres Mint,
Bank Transaction {0} is already fully reconciled,La transaction bancaire {0} est déjà complètement rapprochée,
Cancelled,Annulé,
Check,Chèque,
Classify As,Classer comme,
Company,Société,
Completed,Terminé,
Contains,Contient,
Continue in background,Continuer en arrière-plan,
Credit,Crédit,
Date,Date,
Debit,Débit,
Deposit,Dépôt,
Description,Description,
Description Rules,Règles de description,
Document Scan,Scan de document,
Document Scan Already Exists,Le Document Scan existe déjà,
Document Status,Statut du document,
Documentation,Documentation,
Draft,Brouillon,
Ends With,Se termine par,
Error,Erreur,
Failed,Échoué,
Failed to create Document Scan,Échec de la création du scan de document,
Failed to create document processor,Échec de la création du processeur de documents,
Failed to create processor,Échec de la création du processeur,
Failed to start OCR processing,Échec du démarrage du traitement OCR,
File,Fichier,
File Type,Type de fichier,
General,Général,
Google APIs are not enabled. Please enable them in Mint Settings.,Les API Google ne sont pas activées. Veuillez les activer dans les paramètres Mint.,
Google Document AI,Google Document AI,
Google Document Processor - Bank Statement,Processeur de documents Google - Relevé bancaire,
Google Processor Location,Emplacement du processeur Google,
Google Project ID,ID de projet Google,
Google Project ID is not set in Mint Settings,L'ID de projet Google n'est pas défini dans les paramètres Mint,
Google Project ID is not set. Please set it in the Mint Settings.,L'ID de projet Google n'est pas défini. Veuillez le définir dans les paramètres Mint.,
Google Service Account JSON Key,Clé JSON du compte de service Google,
Google Service Account JSON Key is not set in Mint Settings,La clé JSON du compte de service Google n'est pas définie dans les paramètres Mint,
"If checked, this job will run every 30 minutes","Si coché, cette tâche s'exécutera toutes les 30 minutes",
Imported,Importé,
Invalid regex pattern.,Modèle regex invalide.,
Keyboard Shortcuts,Raccourcis clavier,
Logout,Déconnexion,
Match Transfers across (days),Faire correspondre les virements sur (jours),
Max Amount,Montant maximum,
Min Amount,Montant minimum,
Min amount cannot be greater than max amount.,Le montant minimum ne peut pas être supérieur au montant maximum.,
Mint Bank Statement Import,Import de relevé bancaire Mint,
Mint Bank Statement Import Transactions,Transactions d'import de relevé bancaire Mint,
Mint Bank Transaction Description Rules,Règles de description de transaction bancaire Mint,
Mint Bank Transaction Rule,Règle de transaction bancaire Mint,
Mint Settings,Paramètres Mint,
My Profile,Mon profil,
My Settings,Mes paramètres,
No transactions found,Aucune transaction trouvée,
Nora AI analysis in progress...,Analyse Nora AI en cours...,
Not Started,Non commencé,
Number of days to consider for transfer matching across bank accounts.,Nombre de jours à considérer pour faire correspondre les virements entre comptes bancaires.,
OCR Failed,Échec OCR,
OCR Status,Statut OCR,
OCR processing failed,Le traitement OCR a échoué,
OCR processing in progress...,Traitement OCR en cours...,
PDF,PDF,
Party,Tiers,
Party Type,Type de tiers,
Party is required create a payment entry.,Le tiers est requis pour créer une écriture de paiement.,
Party type is required to create a payment entry.,Le type de tiers est requis pour créer une écriture de paiement.,
Payment Entry,Écriture de paiement,
Pending,En attente,
Please upload a file,Veuillez télécharger un fichier,
Priority,Priorité,
Processing,En cours de traitement,
Processing continues in background. The page will reload when done.,Le traitement continue en arrière-plan. La page se rechargera une fois terminé.,
Processing timeout - please check Document Scan,Délai de traitement dépassé - veuillez vérifier le Document Scan,
Reference,Référence,
Regex,Regex,
Reload,Recharger,
Report an Issue,Signaler un problème,
Retry with Nora AI,Réessayer avec Nora AI,
Rule Description,Description de la règle,
Rule Name,Nom de la règle,
Save the document first to enable OCR processing,Enregistrez d'abord le document pour activer le traitement OCR,
Scan Anyway,Scanner quand même,
Session Defaults,Valeurs par défaut de session,
Starting OCR processing...,Démarrage du traitement OCR...,
Starts With,Commence par,
Status,Statut,
String Amount,Montant en chaîne,
Submitted,Validé,
System Manager,Administrateur système,
This method is only meant for developer mode,Cette méthode est réservée au mode développeur,
Toggle Full Width,Basculer en pleine largeur,
Toggle Theme,Changer de thème,
Transaction Type,Type de transaction,
Transactions,Transactions,
Transfer,Transférer,
Type,Type,
Unknown error,Erreur inconnue,
User Forum,Forum utilisateur,
User Remark,Remarque de l'utilisateur,
Value,Valeur,
View Document Scan,Voir le Document Scan,
View Existing,Voir l'existant,
View Website,Voir le site web,
What would you like to do?,Que souhaitez-vous faire ?,
Withdrawal,Retrait,
eu,UE,
us,us,
{0} transactions extracted!,{0} transactions extraites !,
{0} {1} does not exist,{0} {1} n'existe pas,
{0} transactions processed,{0} transactions traitées,
{0} created,{0} créées,
{0} duplicates skipped,{0} doublons ignorés,
{0} auto-matched,{0} rapprochées automatiquement,
{0} to review in Mint,{0} à traiter dans Mint,
{0} errors,{0} erreurs,
XML Import Complete,Import XML terminé,
{0} - Payment for {1},{0} - Paiement pour {1},
No transactions found,Aucune transaction trouvée,
All rows must have an amount and a type. Missing in row {0},Toutes les lignes doivent avoir un montant et un type. Manquant à la ligne {0},
Cannot parse a submitted or cancelled document,Impossible de traiter un document soumis ou annulé,
Please attach an XML file first,Veuillez d'abord joindre un fichier XML,
File type must be XML,Le type de fichier doit être XML,
Could not read file content,Impossible de lire le contenu du fichier,
Could not detect Bank Account from IBAN ({0}). Please select one manually.,Impossible de détecter le compte bancaire depuis l'IBAN ({0}). Veuillez en sélectionner un manuellement.,
